"","Datum","Warengruppe","Umsatz","KielerWoche","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","Feiertag","Wetter","Feiertag_Ja","Wochentag","Tag","T_Abweichung"
"1",2013-07-01,1,148.828353112183,0,6,17.8375,15,20,"Nein",0,1,"Montag",182,-4.06370967741936
"2",2013-07-02,1,159.79375714468,0,3,17.3125,10,-1,"Nein",1,1,"Dienstag",183,-4.58870967741936
"3",2013-07-03,1,111.885593514353,0,7,21.075,6,61,"Nein",0,1,"Mittwoch",184,-0.826209677419357
"4",2013-07-04,1,168.864940979931,0,7,18.85,7,20,"Nein",0,1,"Donnerstag",185,-3.05120967741935
"5",2013-07-05,1,171.280754117955,0,5,19.975,12,-1,"Nein",1,1,"Freitag",186,-1.92620967741935
"6",2013-07-06,1,174.552359998476,0,0,18.9625,8,-1,"Nein",1,1,"Samstag",187,-2.93870967741936
"7",2013-07-07,1,92.6377553788373,0,0,21.375,9,-1,"Nein",1,1,"Sonntag",188,-0.526209677419356
"8",2013-07-08,1,135.500244042392,0,0,22.725,10,5,"Nein",0,1,"Montag",189,0.823790322580646
"9",2013-07-09,1,136.048382778344,0,0,23.275,8,-1,"Nein",1,1,"Dienstag",190,1.37379032258064
"10",2013-07-10,1,135.132314289581,0,2,19.6875,13,5,"Nein",0,1,"Mittwoch",191,-2.21370967741936
"11",2013-07-11,1,138.549392636714,0,0,21.375,12,5,"Nein",0,1,"Donnerstag",192,-0.526209677419356
"12",2013-07-12,1,101.447511461298,0,0,20.2875,7,-1,"Nein",1,1,"Freitag",193,-1.61370967741935
"13",2013-07-13,1,141.233309883732,0,1,20.125,12,-1,"Nein",1,1,"Samstag",194,-1.77620967741936
"14",2013-07-14,1,112.524365708762,0,5,17.6875,15,5,"Nein",0,1,"Sonntag",195,-4.21370967741936
"15",2013-07-15,1,161.264677322182,0,6,18.7375,12,-1,"Nein",1,1,"Montag",196,-3.16370967741936
"16",2013-07-16,1,116.821358174215,0,1,21.1875,10,-1,"Nein",1,1,"Dienstag",197,-0.713709677419356
"17",2013-07-17,1,150.572919592838,0,5,22.5125,8,-1,"Nein",1,1,"Mittwoch",198,0.611290322580643
"18",2013-07-18,1,101.90072129658,0,1,23.25,11,5,"Nein",0,1,"Donnerstag",199,1.34879032258064
"19",2013-07-19,1,161.63511518654,0,3,22.475,16,5,"Nein",0,1,"Freitag",200,0.573790322580646
"20",2013-07-20,1,134.328076682024,0,0,23.1875,8,-1,"Nein",1,1,"Samstag",201,1.28629032258064
"21",2013-07-21,1,66.2887578161955,0,0,26.375,8,-1,"Nein",1,1,"Sonntag",202,4.47379032258064
"22",2013-07-22,1,131.223948997842,0,0,26.1,9,-1,"Nein",1,1,"Montag",203,4.19879032258065
"23",2013-07-23,1,110.315246796665,0,0,24.95,12,-1,"Nein",1,1,"Dienstag",204,3.04879032258064
"24",2013-07-24,1,141.891908195545,0,3,24.075,11,-1,"Nein",1,1,"Mittwoch",205,2.17379032258064
"25",2013-07-25,1,167.701216640907,0,2,23.0875,9,-1,"Nein",1,1,"Donnerstag",206,1.18629032258064
"26",2013-07-26,1,147.272084366206,0,3,27.2625,6,-1,"Nein",1,1,"Freitag",207,5.36129032258064
"27",2013-07-27,1,161.403357795112,0,1,26.1625,10,-1,"Nein",1,1,"Samstag",208,4.26129032258065
"28",2013-07-28,1,86.0791432446654,0,4,24.8875,13,61,"Nein",0,1,"Sonntag",209,2.98629032258064
"29",2013-07-29,1,183.564164400591,0,1,22.7875,10,-1,"Nein",1,1,"Montag",210,0.886290322580646
"30",2013-07-30,1,132.111640117897,0,5,21.075,13,21,"Nein",0,1,"Dienstag",211,-0.826209677419357
"31",2013-07-31,1,144.745431773143,0,5,20.275,16,65,"Nein",0,1,"Mittwoch",212,-1.62620967741936
"32",2013-08-01,1,157.854023011106,0,6,23.4,7,21,"Nein",0,1,"Donnerstag",213,2.80766129032258
"33",2013-08-02,1,117.359342094889,0,0,31.4375,7,-1,"Nein",1,1,"Freitag",214,10.8451612903226
"34",2013-08-03,1,186.027178770079,0,4,23.3625,11,63,"Nein",0,1,"Samstag",215,2.77016129032258
"35",2013-08-04,1,104.708216687715,0,3,23.05,8,-1,"Nein",1,1,"Sonntag",216,2.45766129032258
"36",2013-08-05,1,146.775309890073,0,0,25.8,10,-1,"Nein",1,1,"Montag",217,5.20766129032258
"37",2013-08-06,1,131.956277381283,0,5,22.225,13,-1,"Nein",1,1,"Dienstag",218,1.63266129032258
"38",2013-08-07,1,160.593417296116,0,4,19.2125,8,-1,"Nein",1,1,"Mittwoch",219,-1.37983870967742
"39",2013-08-08,1,153.099424561652,0,7,16.975,12,20,"Nein",0,1,"Donnerstag",220,-3.61733870967742
"40",2013-08-09,1,125.620344387906,0,4,20.3375,10,21,"Nein",0,1,"Freitag",221,-0.254838709677422
"41",2013-08-10,1,185.177162656408,0,7,19.3625,12,61,"Nein",0,1,"Samstag",222,-1.22983870967742
"42",2013-08-11,1,73.2088330039992,0,7,16.3875,9,61,"Nein",0,1,"Sonntag",223,-4.20483870967742
"43",2013-08-12,1,154.504729536697,0,7,16.45,11,63,"Nein",0,1,"Montag",224,-4.14233870967742
"44",2013-08-13,1,134.064451548102,0,3,16.4,16,95,"Nein",0,1,"Dienstag",225,-4.19233870967742
"45",2013-08-14,1,156.972510536869,0,4,18.2625,18,61,"Nein",0,1,"Mittwoch",226,-2.32983870967742
"46",2013-08-15,1,164.763795399756,0,3,19.8,8,-1,"Nein",1,1,"Donnerstag",227,-0.79233870967742
"47",2013-08-16,1,147.79799759804,0,4,23.575,11,0,"Nein",0,1,"Freitag",228,2.98266129032258
"48",2013-08-17,1,221.630418006017,0,6,20.55,7,0,"Nein",0,1,"Samstag",229,-0.0423387096774199
"49",2013-08-18,1,92.489778506026,0,7,18.5875,10,63,"Nein",0,1,"Sonntag",230,-2.00483870967742
"50",2013-08-19,1,145.87913275728,0,5,18.4875,8,-1,"Nein",1,1,"Montag",231,-2.10483870967742
"51",2013-08-20,1,111.842396126739,0,7,17.775,8,61,"Nein",0,1,"Dienstag",232,-2.81733870967742
"52",2013-08-21,1,125.336522713024,0,5,20.125,8,-1,"Nein",1,1,"Mittwoch",233,-0.467338709677421
"53",2013-08-22,1,132.916428220302,0,4,21.6625,8,-1,"Nein",1,1,"Donnerstag",234,1.07016129032258
"54",2013-08-23,1,162.958958703106,0,1,22.0375,14,-1,"Nein",1,1,"Freitag",235,1.44516129032258
"55",2013-08-24,1,201.543109556297,0,0,20.85,16,5,"Nein",0,1,"Samstag",236,0.257661290322581
